Timestamp,Full Name,UOregon Email,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Assigned Team,Assigned Team 2,Assigned Team 3
2017/04/11 1:11:32 PM MDT,Theodore LaGrow,tlagrow@uoregon.edu,6pm;8pm;3pm;5pm;11am;7pm;10am,11am;9am;8pm;8am;3pm;2pm;10am;5pm;7pm,5pm;2pm;4pm;7pm;8am;3pm;8pm;12pm;1pm,3pm;1pm;7pm;8pm;10am;4pm;9am,2pm;12pm;6pm,8pm;5pm;7pm;11am;8am,4pm,11,4,2
2017/04/11 1:13:23 PM MDT,Puddles,puddles@uoregon.edu,11am;10am;4pm;5pm;12pm;3pm,,,6pm;7pm;9am;5pm,2pm;5pm;4pm;11am;9am;3pm;8pm;8am;10am;1pm,,10am;3pm;2pm;8am;11am,10,11,5
2017/04/11 1:34:14 PM MDT,Angelina Hardy,ahardy@uoregon.edu,4pm;2pm;7pm;12pm;8am;1pm;8pm;6pm,8pm;1pm;5pm;6pm;12pm,7pm;6pm;8am;1pm;4pm;9am,6pm;2pm;8am;7pm;3pm;4pm;5pm;1pm,8pm;12pm;11am;4pm;10am;2pm;3pm,12pm;10am;8am;5pm;6pm;3pm;7pm;11am,7pm;8am;1pm;11am;4pm;9am;2pm;5pm;6pm,3,2,13
2017/04/11 1:35:48 PM MDT,Matthew Lawrence,mlaw3@uoregon.edu,12pm,12pm;2pm;9am;4pm,5pm;4pm;11am,7pm;9am;12pm;6pm;2pm;11am;8pm;3pm,10am;8am;5pm;4pm;11am;8pm;9am;1pm;6pm,2pm;8am,7pm;2pm;5pm;8pm;3pm,3,10,10
2017/04/11 1:37:53 PM MDT,Patrick Lee,patrickl@uoregon.edu,7pm;12pm;11am;6pm;2pm;1pm;9am,8am;2pm;11am;9am;8pm,8am;10am;5pm,11am;5pm;10am;2pm;6pm;9am,,5pm;2pm;4pm;7pm;3pm;9am;8am,,9,3,10
2017/04/11 1:11:32 PM MDT,Scott Matthews,smatthews@uoregon.edu,2pm;7pm;10am;8pm;4pm;9am,7pm;10am;3pm;11am,5pm;2pm;9am;11am;4pm;6pm;12pm;10am,2pm;6pm,9am;7pm;2pm;3pm;8am;12pm;4pm;6pm,10am;3pm;1pm;7pm;5pm;6pm;9am,4pm;5pm;11am;1pm;10am;7pm;2pm,8,6,7
2017/04/11 1:13:23 PM MDT,Bob Curtis,bcurtis@uoregon.edu,10am,10am,4pm;2pm;5pm;6pm;8am;8pm;12pm,3pm;12pm;4pm;7pm;6pm;11am;8am,3pm;12pm;11am;9am,1pm;4pm;8am;8pm;12pm;9am;5pm,10am;7pm;4pm;9am;6pm;8pm;5pm;11am,11,3,9
2017/04/11 1:34:14 PM MDT,Wilbert Mcbride,wilbm@uoregon.edu,8am;10am;6pm;1pm;9am;3pm;2pm,7pm;4pm;10am;6pm;5pm;11am;8am,10am;1pm;9am;11am;4pm;8pm;7pm,8pm;12pm,1pm,5pm;8pm;4pm,8pm;5pm,6,11,6
2017/04/11 1:35:48 PM MDT,Milton Higgins,miltonhig@uoregon.edu,9am;1pm;7pm;6pm,8pm;3pm;2pm;4pm;1pm;8am,5pm;2pm;7pm;1pm,,11am;9am;2pm,7pm;9am;12pm;8pm,5pm;10am;11am;8am;7pm;6pm;4pm;2pm;9am,4,4,11
2017/04/11 1:37:53 PM MDT,Michele Bridges,micheleb@uoregon.edu,1pm;10am,11am;12pm;8am;6pm;8pm;5pm;4pm,5pm;7pm;11am;8am;1pm;6pm,1pm,5pm;12pm;3pm;4pm;2pm;8pm,11am;4pm;10am;3pm;8am;8pm;12pm;1pm,8am;5pm;3pm;2pm;9am;1pm;8pm,8,13,4
2017/04/11 1:11:32 PM MDT,Ed Nichols,ednich@uoregon.edu,,8am;11am;8pm;2pm;9am,2pm,4pm,11am;2pm;9am;5pm,2pm;5pm;9am,3pm;10am;4pm;1pm;6pm;8pm;8am;7pm,5,9,1
